,area,district,metro,metro_distance,metro_num,price,square,S,title,type
14018,13.12 ㎡06/6层3室1厅,宝山,距3号线淞发路站直线783米,783,783.0,2490,13.12,13.12,友家 · 长宏新苑3居室-南卧,合租
14019,14.2 ㎡11/11层3室1厅,宝山,距3号线长江南路站直线1572米,1572,1572.0,1990,14.2,14.2,友家 · 宝景苑3居室-南卧,合租
14020,12.8 ㎡06/6层7室1厅,宝山,距7号线上海大学站直线409米,409,409.0,1760,12.8,12.8,友家 · 当代高邸7居室-南卧,合租
14021,15 ㎡05/6层4室1厅,宝山,距7号线祁华路站直线726米,726,726.0,1530,15,15.0,友家 · 葑润华庭4居室-南卧,合租
14022,9.1 ㎡03/14层3室1厅,宝山,距7号线顾村公园站直线1043米,1043,1043.0,1190,9.1,9.1,友家 · 菊泉新城(菊泉街39弄)3居室-西卧,合租
14023,15.6 ㎡05/6层3室1厅,宝山,距7号线大华三路站直线952米,952,952.0,2690,15.6,15.6,友家 · 滨江雅苑3居室-南卧,合租
14024,15.82 ㎡03/6层3室1厅,宝山,距3号线殷高西路站直线737米,737,737.0,2530,15.82,15.82,友家 · 高境二村3居室-南卧,合租
14025,11.7 ㎡06/11层3室1厅,宝山,距7号线南陈路站直线602米,602,602.0,1530,11.7,11.7,友家 · 经纬学士逸居家园(五期)3居室-南卧,合租
14026,11.5 ㎡04/6层4室1厅,宝山,距1号线宝安公路站直线589米,589,589.0,1930,11.5,11.5,友家 · 天馨花园(公寓)4居室-东卧,合租
14027,17.8 ㎡06/6层4室1厅,宝山,距7号线上大路站直线1162米,1162,1162.0,1760,17.8,17.8,友家 · 慧华苑4居室-南卧,合租
14028,14.5 ㎡06/6层4室1厅,宝山,距1号线通河新村站直线1794米,1794,1794.0,1960,14.5,14.5,友家 · 金棠苑4居室-南卧,合租
14029,16 ㎡02/6层4室1厅,宝山,距1号线宝安公路站直线550米,550,550.0,1990,16,16.0,友家 · 宝启花园(公寓)4居室-南卧,合租
14030,20 ㎡03/6层4室1厅,宝山,距7号线行知路站直线1034米,1034,1034.0,2330,20,20.0,友家 · 玉华苑4居室-南卧,合租
14031,16.7 ㎡03/6层3室1厅,宝山,距7号线大场镇站直线1549米,1549,1549.0,1990,16.7,16.7,友家 · 康泰新城3居室-南卧,合租
14032,16.3 ㎡05/5层3室1厅,宝山,距1号线友谊西路站直线819米,819,819.0,1660,16.3,16.3,友家 · 东方丽都3居室-南卧,合租
14033,11.9 ㎡02/14层4室1厅,宝山,距3号线淞发路站直线1010米,1010,1010.0,1990,11.9,11.9,友家 · 万临家园4居室-南卧,合租
14034,14.4 ㎡04/10层4室1厅,宝山,距1号线宝安公路站直线550米,550,550.0,1690,14.4,14.4,友家 · 宝启花园(公寓)4居室-南卧,合租
14035,14.6 ㎡05/6层4室1厅,宝山,距7号线上海大学站直线409米,409,409.0,1760,14.6,14.6,友家 · 当代高邸4居室-南卧,合租
14036,12.5 ㎡05/18层3室1厅,宝山,距1号线宝安公路站直线135米,135,135.0,2160,12.5,12.5,友家 · 柏丽华庭3居室-南卧,合租
14037,13.5 ㎡04/11层3室1厅,宝山,距7号线南陈路站直线602米,602,602.0,1690,13.5,13.5,友家 · 经纬学士逸居家园(五期)3居室-南卧,合租
14038,13.3 ㎡14/14层3室1厅,宝山,距7号线刘行站直线1833米,1833,1833.0,1090,13.3,13.3,友家 · 菊祥苑3居室-南卧,合租
14039,13.1 ㎡04/18层3室1厅,宝山,距7号线刘行站直线1080米,1080,1080.0,1430,13.1,13.1,友家 · 宝沁苑3居室-南卧,合租
14040,13.4 ㎡08/14层5室1厅,宝山,距7号线大场镇站直线1081米,1081,1081.0,2060,13.4,13.4,友家 · 中环一号(一期)5居室-南卧,合租
14041,10 ㎡06/6层4室1厅,宝山,距7号线罗南新村站直线692米,692,692.0,1030,10,10.0,友家 · 富丽苑4居室-北卧,合租
14042,15.5 ㎡06/6层4室2厅,宝山,距3号线殷高西路站直线1394米,1394,1394.0,1990,15.5,15.5,友家 · 四季绿城4居室-南卧,合租
14043,14 ㎡01/6层3室1厅,宝山,距7号线上海大学站直线1239米,1239,1239.0,1890,14,14.0,友家 · 上大聚丰园3居室-南卧,合租
14044,14.5 ㎡05/6层3室1厅,宝山,距7号线上大路站直线1126米,1126,1126.0,1760,14.5,14.5,友家 · 慧华东苑3居室-南卧,合租
