,district,type,metro_num,S,mon_price,聚类类别,density
348,闵行,整租,741.0,55.6,4690,高端房源,6845
349,闵行,整租,1206.0,55.0,2790,高端房源,6845
350,闵行,整租,746.0,60.0,4990,高端房源,6845
351,闵行,整租,1544.0,92.0,4390,豪宅,6845
352,闵行,整租,1497.0,35.0,2760,交通不便普通,6845
353,闵行,整租,791.0,38.0,4130,高端房源,6845
354,闵行,整租,934.0,61.34,4860,高端房源,6845
355,闵行,整租,695.0,50.0,4860,高端房源,6845
356,闵行,整租,569.0,51.0,5100,高端房源,6845
357,闵行,整租,413.0,59.09,5560,高端房源,6845
358,闵行,整租,74.0,56.13,6230,高端房源,6845
359,闵行,整租,1443.0,45.0,3500,高端房源,6845
360,闵行,整租,1497.0,29.0,2590,交通不便普通,6845
361,闵行,整租,501.0,105.0,7390,豪宅,6845
362,闵行,整租,669.0,55.0,4190,高端房源,6845
363,闵行,整租,469.0,52.5,5660,高端房源,6845
364,闵行,整租,669.0,114.0,7290,豪宅,6845
365,闵行,整租,758.0,35.84,4290,高端房源,6845
366,闵行,整租,741.0,71.76,5490,豪宅,6845
367,闵行,整租,681.0,60.0,4730,高端房源,6845
368,闵行,整租,1092.0,40.87,3990,高端房源,6845
369,闵行,整租,488.0,61.0,6100,豪宅,6845
370,闵行,整租,827.0,65.0,5430,高端房源,6845
371,闵行,整租,741.0,55.03,4690,高端房源,6845
372,闵行,整租,1184.0,68.0,4960,高端房源,6845
373,闵行,整租,1639.0,58.0,2890,高端房源,6845
374,闵行,整租,594.0,48.0,5060,高端房源,6845
375,闵行,整租,848.0,48.0,4560,高端房源,6845
376,闵行,整租,1313.0,77.0,4990,豪宅,6845
377,闵行,整租,727.0,38.85,4550,高端房源,6845
378,闵行,整租,315.0,37.93,4260,高端房源,6845
379,闵行,整租,826.0,61.24,5460,高端房源,6845
380,闵行,整租,853.0,61.0,5560,高端房源,6845
381,闵行,整租,1313.0,47.0,3690,高端房源,6845
382,闵行,整租,501.0,77.17,6260,豪宅,6845
383,闵行,整租,1156.0,70.0,5360,豪宅,6845
384,闵行,整租,1211.0,37.11,3660,高端房源,6845
385,闵行,整租,1313.0,41.0,3690,高端房源,6845
386,闵行,整租,1092.0,60.55,5260,高端房源,6845
387,闵行,整租,1932.0,70.0,3590,高端房源,6845
388,闵行,整租,697.0,97.96,7230,豪宅,6845
389,闵行,整租,1319.0,46.0,3960,高端房源,6845
390,闵行,整租,722.0,70.48,6380,豪宅,6845
391,闵行,整租,469.0,52.0,5800,高端房源,6845
392,闵行,整租,441.0,37.2,5060,高端房源,6845
393,闵行,整租,1706.0,56.0,3560,高端房源,6845
394,闵行,整租,741.0,55.6,4590,高端房源,6845
395,闵行,整租,1425.0,50.0,4390,高端房源,6845
396,闵行,整租,798.0,40.47,2660,高端房源,6845
397,闵行,整租,1211.0,33.84,3660,高端房源,6845
398,闵行,整租,1313.0,36.0,3760,高端房源,6845
399,闵行,整租,359.0,38.23,4690,高端房源,6845
400,闵行,整租,853.0,59.77,5630,高端房源,6845
401,闵行,整租,2109.0,59.76,3130,交通不便普通,6845
402,闵行,整租,1659.0,60.0,4390,高端房源,6845
403,闵行,整租,525.0,40.28,4490,高端房源,6845
